olympia_gateway_id,olympia_address,babylon_address,first_seen_at_olympia_state_version,supply_fixed,initial_babylon_name,initial_babylon_symbol,initial_babylon_description,initial_babylon_supply
139,radc_rr1qvx3x93k3jrutxcxmdj2lmwyjth274x0ukhwpe25hdrsjxhxxv,"",60017876,t,RadixCollection,radc,Radix Collection official token. The first decentralized collectible game living on the RadixDLT network.,10000000000000000000000000
140,rcbab_rr1qd60fc8s7vq3j0e0e48e9w0vv7kgp52hzfgu2e6608ds4285m4,"",60099895,t,RCBabylon,rcbab,Radix Collection Babylon token. Rewards investors holding XRD from Babylon.,99999999999000000000000000000
141,rcxia_rr1q03qe23378gdzg5ay5crpy8tc3ww6uxfvl0jjr7g8cqsscjr97,"",60108967,t,RCXian,rcxia,Radix Collection Xi'an token. Rewards investors holding XRD from Xi'an.,99999999999000000000000000000
142,rcund_rr1qvux4cxnjnp64l7ercp6mmq2ckdnf3art2f9wdjeyhdqjd2qmp,"",60109533,t,RCLondonUnderground,rcund,Radix Collection London Underground token. Rewards members involved in the London underground photo contest.,99999999999000000000000000000
143,ndt_rr1q0s4guyxp6a7ra0nz6dlm4nmzq8tqh0q2ddqa5aupf8qk9tdtt,"",60524132,t,NeuroDiversityToken,ndt,Enabling neurodiverse individuals reach their full potential.,1000000000000000000000000
144,kngpn_rr1qwsccynv2uusgxy7rkwdv84d7rw0vesjwd4unwvphuhsqtlwqz,"",60637364,t,Kingpin,kngpn,What's Understood Doesn't Need To Be Explained...,10000000000000000000000000
145,rctri_rr1qwu2gzhke5nquefe7rdwuu8entj4nvle5vrxdhyzayqq5hm2ce,"",60705183,t,RCTeamTributjects,rctri,Radix Collection RCTeamTributjects token. Rewards investors who bought Artistizen Radix Team Tributjects NFTs.,99999999999000000000000000000
146,drm_rr1qdwhatmsvs2ykgur6svgxhj6ujwhnewt44gmsep8s4yqd0mglr,"",60849640,t,Dream,drm,I awoke and yet continued to dream...,512512512000000000000000000
147,rcner_rr1q0uw7prhu230duqd9v3lmdkqa29j4vd53j7r5n2nmszqalnecn,"",61159750,t,RCNerdsRepublic,rcner,Radix Collection RCNerdsRepublic token. Rewards investors who bought Nerds Republic NFTs.,99999999999000000000000000000
148,rcbug_rr1q0a7zxryr877mlk694n5lulyqsur6zlccqfqg98558fstp4us8,"",61160332,t,RCBugBounty,rcbug,Radix Collection RCBugBounty token. Reward members who helped us resolve a bug.,99999999999000000000000000000
149,dream_rr1qdudqap263ec620a6w3u7zntkpvk6szmnt5463cutrds7rexj0,"",61637154,t,DREAMIX,dream,Celebrating the birth of the Radix Ecosystem,6656000000000000000000
150,btc_rr1qwtuqktf3k98jjtk0j353jjulyuwynphzhnpvylt5duq9mecyq,"",62795156,t,Bitcoin,btc,Bitcoin on Radix,21000000000000000000000000
151,dog_rr1q0mw3wt9kq20htflqeens0zdp7z9ylhheassgjxu9tcqp8asel,"",63100722,t,The Radix Dog,dog,"It's not a Doge, it's a dog! Woof Woof!",1000000000000000000000000
