id,engine_address,rri,from_state_version,babylon_resource_address
64,\x03259769342c89277b661d609c6fa43ce7bcd2b0f182cfe7e4a1a1,kos_rr1qvjew6f59jyjw7mxr4sfcmay8nnme54s7xpvlely5xssakh7cn,51141617,resource_rdx1t5uux82xy7f354c573j48kl9pv584ur3s7d34kdsvc5qfv4njqzshh
65,\x038a538e01c8c50f696ee15ecd289ecc5d8598daa4622c55e982ce,0_rr1qw998rsperzs76twu90v62y7e3wctxx6533zc40fst8qwzkvzd,51579790,resource_rdx1t4wk3vhk606czur4ruasgyqwvdy263gdmgn4x2fv30ylw6mez4lsxw
66,\x03bcd37dc111b57ce89a8e42ce953dd0c852fa6783197a6d4d1591,scorp_rr1qw7dxlwpzx6he6y63epva9fa6ry997n8svvh5m2dzkgshv0jh8,51610404,resource_rdx1t5egwd52s2xemaa6r8jkhj0vs4q82ym93efn4g4267de4fwnfww7cy
67,\x03f93dedc4740b141ad3d9c006971f8da3f0af185a8afd7c303312,shvbasjb_rr1q0unmmwyws93gxknm8qqd9cl3k3lptcct2906lpsxvfqg67pqh,51681584,resource_rdx1t47wrngalfgaexa79fru08nnxd3kgqfdcaw75r6y43p09z4jch8ecw
68,\x038c49fe619d4f0a83d34f3731d162c260314f0b820fc1a65c6365,rocket_rr1qwxynlnpn48s4q7nfumnr5tzcfsrznctsg8urfjuvdjstspahs,51866063,resource_rdx1t4tzsjjgkkn0g6ed0q7l33sr30068sj5q35dc385dqjd7k7hrvpr85
69,\x034029f7784a451df1a03929fa2fe97cd89675933b53bbc999fd5f,moon_rr1qdqznamcffz3mudq8y5l5tlf0nvfvavn8dfmhjvel40sc859dd,51867907,resource_rdx1thuyrheyujw5u4y5f046nnr6vjxuwd5jv6h22zlamp0jn6spuk2txz
70,\x03b01311c3a117bbf4f561b970a60e1e801cf6add52111b4c60731,hoard_rr1qwcpxywr5ytmha84vxuhpfswr6qpea4d65s3rdxxqucsmfy0mh,52735156,resource_rdx1t5jvq88jact5dkjdqxu84z2l0vmkwx7mr0wks99ey3j9tstrwse4hd
71,\x034c470c9ec5dbec9c9a334a704339cefa20a0a86bc6e623cc25d7,thc_rr1qdxywry7chd7e8y6xd98qseeemazpg9gd0rwvg7vyhts6vc885,52786513,resource_rdx1tkuysjj096htgpqa36va3cmu4s02cwcqdd0j9u8slae25l5vxjph7z
72,\x03eb0844306ea65783faf29808ea69362010586186a680b4a976e2,cbda12342_rr1q04ss3psd6n90ql672vq36nfxcspqkrps6ngpd9fwm3qud5c4c,54111830,resource_rdx1th6szsumhz82zkxe2salr59x4s2ylh0zmygt6a3c2v3ax4sz22g4fz
73,\x03279ed8b7acc50c1367a9871f3f2a9e91fb6db503b7df94d23104,prescana12342_rr1qvneak9h4nzscym84xr370e2n6glkmd4qwmal9xjxyzq634u9c,54113703,resource_rdx1tkggtat5kjk8yg0szdua52ttjjas8s5qmdvfqqv2pmm87u8pfcku7d
